"","year","count","country","gdp","pop","host","comm_soviet"
"108",1996,66,"South Korea",598099073901.423,45524681,1,"0"
"109",1996,1,"Latvia",5970044665.64574,2457222,0,"1"
"110",1996,12,"Lithuania",8385109020.28485,3601613,0,"1"
"111",1996,2,"Morocco",43161452678.4383,27460603,0,"0"
"112",1996,3,"Malaysia",100854996422.609,21023321,0,"0"
"113",1996,3,"Moldova",1695130456.52174,3667748,0,"1"
"114",1996,1,"Mexico",410975595310.156,95687452,0,"0"
"115",1996,1,"Mongolia",1345719472.35883,2316567,0,"1"
"116",1996,1,"Mozambique",3523842274.89662,16248232,0,"0"
"117",1996,2,"Namibia",3945340776.40546,1706489,0,"0"
"118",1996,73,"Netherlands",445704575163.399,15530498,0,"0"
"119",1996,26,"Nigeria",34987951375,110732904,0,"0"
"120",1996,25,"Norway",163517783497.163,4381336,0,"0"
"121",1996,9,"New Zealand",70140835299.0148,3732000,0,"0"
"122",1996,1,"Philippines",82848140618.0266,71446107,0,"0"
"123",1996,21,"Poland",159942880456.956,38624370,0,"1"
"124",1996,3,"Portugal",122629812841.175,10063945,0,"0"
"125",1996,5,"North Korea",NA,22113548,0,"1"
"126",1996,1,"Puerto Rico",45340835000,3724655,0,NA
"127",1996,38,"Romania",37182938696.0752,22619004,0,"1"
"128",1996,5,"South Africa",147607982694.857,42898520,0,"0"
"129",1996,115,"Russia",391719993756.828,148160042,0,"1"
"130",1996,2,"Slovenia",21480023016.9972,1988628,0,"1"
"131",1996,11,"Switzerland",330091688349.515,7071850,0,"0"
"132",1996,3,"Slovakia",27821913814.9556,5373361,0,"0"
"133",1996,31,"Sweden",288103936773.039,8840998,0,"0"
"134",1996,1,"Syria",13789560878.2435,14755286,0,"0"
"135",1996,1,"Tonga",219583570.094975,96369,0,"0"
"136",1996,2,"Thailand",183035154107.494,60151472,0,"0"
"137",1996,1,"Taiwan",NA,NA,0,"0"
"138",1996,2,"Trinidad and Tobago",5759537726.26601,1258364,0,"0"
"139",1996,1,"Tunisia",19587322786.1105,9256037,0,"0"
"140",1996,6,"Turkey",181475555282.555,59423208,0,"0"
"141",1996,1,"Uganda",6044585326.938,21202118,0,"0"
"142",1996,34,"Ukraine",44558077827.135,51057189,0,"1"
"143",1996,260,"United States",8.100201e+12,269394000,1,"0"
"144",1996,2,"Uzbekistan",13948892215.5689,23225000,0,"1"
"145",1996,26,"Yugoslavia",NA,NA,0,"1"
"146",1996,1,"Zambia",3597220962.00017,9394304,0,"0"
"147",2000,5,"Algeria",54790245600.5846,31183660,0,"0"
"149",2000,20,"Argentina",284203750000,37057452,0,"0"
"150",2000,1,"Armenia",1911563665.39006,3069588,0,"1"
"151",2000,183,"Australia",415034227218.489,19153000,1,"0"
"152",2000,4,"Austria",196799778883.361,8011566,0,"0"
"153",2000,3,"Azerbaijan",5272617196.04517,8048600,0,"1"
"154",2000,6,"Bahamas",8076470000,297890,0,"0"
"155",2000,1,"Barbados",3121500000,269847,0,"0"
"156",2000,7,"Belgium",237904919845.218,10251250,0,"0"
"157",2000,22,"Belarus",12736856827.9847,9979610,0,"1"
"158",2000,48,"Brazil",655420645476.906,175287587,0,"0"
"159",2000,13,"Bulgaria",13153016530.8718,8170172,0,"1"
